id;text;link;comp;loc;desc;pub
p_62574e6fc5414af9;Senior Software Engineers (Java);/rc/clk?jk=62574e6fc5414af9&fccid=c9cd3dc1c74035d6&vjs=3;Ambition;Kuala Lumpur;Digital Telecommunications Conglomerate Seeks Senior Software Engineers (Java). This organization is looking for motivated Senior Software Engineers (Java) to...;Today
p_f9de5b8fc4e8fdf5;Hardware/Software & Network Engineer;/company/Geoinfo-Services-Sdn-Bhd/jobs/Hardware-Software-Network-Engineer-f9de5b8fc4e8fdf5?fccid=8577a4502ed7be86&vjs=3;Geoinfo Services Sdn Bhd;Kuala Lumpur;Coaching and mentoring assistant engineer in ICT troubleshooting. To manage a proper listing/inventory of hardware and software in the company....;1 day ago
p_42122a298c88c9b5;Software QA Engineer;/company/Appspace-Malaysia-Sdn-Bhd/jobs/Software-QA-Engineer-42122a298c88c9b5?fccid=76791054fdcc1e43&vjs=3;Appspace Malaysia Sdn Bhd;Kuala Lumpur;Testing cloud-based software platforms. Minimum 2 years of working experience in an agile software development environment....;1 day ago
p_d5edfdb09ab740b9;Application Developer / Software Engineer;/company/KewMann-Sdn.-Bhd./jobs/Application-Developer-d5edfdb09ab740b9?fccid=1ada4eadaa866df6&vjs=3;KewMann Sdn. Bhd.;Petaling Jaya;*General Job description:   Develop new products and solutions for both internal and external client * Update and optimize existing applications * Maintain...;1 day ago
p_598f85e8be7be71f;Informatics Software Support Engineer;/rc/clk?jk=598f85e8be7be71f&fccid=163c11f34750a7cd&vjs=3;Agilent Technologies, Inc.;Petaling Jaya;.Those with Agilent software product working experience will be given priority (OpenLAB CDS, ECM, EZChrom Elite, ChemStation)....;1 day ago
p_2962f42281bb00cd;Biomedical Engineer (Internship);/rc/clk?jk=2962f42281bb00cd&fccid=287c38f9162080d3&vjs=3;Materialise;Petaling Jaya;Careful and detailed person who is good with using computer and software. To use Materialise software to convert 2D medical images (radiology/CT/MRI) to 3D bone...;1 day ago
p_e810fd21d0c257e0;Senior Software Development Engineer;/company/Appspace-Malaysia-Sdn-Bhd/jobs/Senior-Software-Development-Engineer-e810fd21d0c257e0?fccid=76791054fdcc1e43&vjs=3;Appspace Malaysia Sdn Bhd;Kuala Lumpur;Perform software architecture and code review and communicate the same to the Software Development Engineers, and ensure the same is incorporated....;1 day ago
p_24c7775c83c43da7;Structural Analysis Engineer;/rc/clk?jk=24c7775c83c43da7&fccid=366382f52796fce2&vjs=3;Dyson;Malaysia;Be a hands-on Engineer capable of developing bespoke solutions tailored to product requirements. Having basic understanding of simulation software, preferably...;1 day ago
p_df93d81f91a28788;Control Engineer;/company/Sophic-Automation-Sdn-Bhd/jobs/Control-Engineer-df93d81f91a28788?fccid=4d1a916048546879&vjs=3;Sophic Automation Sdn Bhd;Kulim;To be a reference in execution automation system technical knowledge, in the field of software development, data architectures, and data collection....;1 day ago
p_9565d8b9cedeb288;IT ENGINEER;/company/avaso-technology-solutions-sdn-bhd/jobs/IT-Engineer-9565d8b9cedeb288?fccid=4e90c7fe2f293483&vjs=3;avaso technology solutions sdn bhd;Kuala Lumpur;You will help install, upgrade and troubleshoot hardware and software systems. We are looking for a Desktop Support Engineer to to provide technical assistance...;1 day ago
p_d986c1a1497c1c77;MS ENGINEER;/company/Yongpeng-Telecom-Technology-(M)-Sdn-Bhd/jobs/Ms-Engineer-d986c1a1497c1c77?fccid=bd0dc05afc89aabe&vjs=3;Yongpeng Telecom Technology (M) Sdn Bhd;Kota Damansara;Upgrade the Model Nodes and test the Software and prepare the implementation plan and present it along with test results and Risks....;1 day ago
p_6761dc89c5ddf1d0;Engineer, Manufacturing Engineering;/rc/clk?jk=6761dc89c5ddf1d0&fccid=b11a318411580b5b&vjs=3;Western Digital;Kuching;Perform evaluation on New Tester Software and Hardware modification. Modify Test Equipment Software to improve capacity and detection capability....;1 day ago
